variant,model_name,cv_roc_auc,cv_f1,cv_precision,cv_recall,cv_accuracy
A,LogisticRegression,0.9065413524517407,0.7820678411535769,0.7606116547102115,0.804845681867234,0.8271114502447892
A,RandomForest,0.914576718753548,0.7912855960844742,0.7737248344302324,0.8097591958807386,0.8353622798566489
A,XGBoost,0.9084842439158901,0.7777418155996888,0.7987903442538193,0.7578077883637037,0.8330618739026571
A,LightGBM,0.9133777579776412,0.7807044933843216,0.8024599334337659,0.7602657786822065,0.8353613649276612
B,LogisticRegression,0.9379136979530858,0.8337274010207436,0.8196959462516187,0.8483618536675609,0.8695887668678596
B,RandomForest,0.9719809106987689,0.8938518607669929,0.8966607638130117,0.8911886041994265,0.9184249314489457
B,XGBoost,0.9826384245517712,0.9271223452537003,0.9369391604259569,0.9175185767582399,0.9443996739193088
B,LightGBM,0.9834146151048643,0.9283147914236274,0.9409399532447772,0.9161144513304352,0.9454814859544676
